Date,Patch name,Stand Type ,Trap Name,Mass (g),Moth Count,Head Count,Body Count,Wing Count,Total Moth,"""Muck"" Mass (g)",Other Species (in lab),Field Notes,Lab notes,,,,,,,,,,,,,
15/07/2024,Mont Saint Hilaire,Oak,MSHOak1.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
15/07/2024,Mont Saint Hilaire,Oak,MSHOak1.2,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
15/07/2024,Mont Saint Hilaire,Oak,MSHOak1.3,0.0929,1,0,0,0,1,NA,0,NA,NA,,,,,,,,,,,,,
15/07/2024,Mont Saint Hilaire,Oak,MSHOak1.4,0.1308,3,0,0,0,3,NA,0,NA,NA,,,,,,,,,,,,,
15/07/2024,Mont Saint Hilaire,Oak/Pine,MSH2Oak1.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
15/07/2024,Mont Saint Hilaire,Oak/Pine,MSH2Oak1.2,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
16/07/2024,Mont Saint Hilaire,Pine,MSHPine1.1,0.1360,2,0,0,0,2,NA,0,NA,NA,,,,,,,,,,,,,
16/07/2024,Mont Saint Hilaire,Oak/Pine,MSH2Oak1.3,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
16/07/2024,Mont Saint Hilaire,Pine/Oak,MSHOP1.1,0.0567,1,0,0,0,1,NA,0,2 tussoch moths,NA,,,,,,,,,,,,,
16/07/2024,Mont Saint Hilaire,Pine/Oak,MSHOP1.2,NA,NA,NA,NA,NA,NA,NA,NA,MISSING IN FIELD,NA,,,,,,,,,,,,,
16/07/2024,Mont Saint Hilaire,Oak/Pine,MSHOP2.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
16/07/2024,Mont Saint Hilaire,Oak/Pine,MSHOP2.2,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
16/07/2024,Mont Saint Hilaire,Oak/Pine,MSHOP2.3,0.0445,1,0,0,0,1,NA,0,1 tussoch moth,NA,,,,,,,,,,,,,
15/07/2024,Mont Saint Hilaire,MOM,MSHMOM,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
15/07/2024,Mont Saint Hilaire,MOM,MSH2MOM,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
15/07/2024,Mont Saint Hilaire,MOM,MSH2MOM2,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
16/07/2024,Mont Saint Hilaire,Oak/Pine,MSH2Oak1.4,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
17/07/2024,Orford,pine,MO2Pine2.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
17/07/2024,Orford,pine,MO2Pine2.2,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
17/07/2024,Orford,pine,MO2Pine1.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
17/07/2024,Orford,pine,MO2Pine1.2,0,0,0,0,0,0,NA,0,trap found open at bottom - closed back up ,NA,,,,,,,,,,,,,
17/07/2024,Orford,oak,MO2Oak1.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
17/07/2024,Orford,oak,MO2Oak 1.2,0,0,0,0,0,0,NA,0,2 tussoch moths,NA,,,,,,,,,,,,,
17/07/2024,Orford,oak,MO2Oak1.3,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
17/07/2024,Orford,pine,MO2Pine3.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
17/07/2024,Orford,pine,MO2Pine3.2,0,0,0,0,0,0,NA,0,1 unknown moth,NA,,,,,,,,,,,,,
17/07/2024,Orford,MOM,MO2MOM,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,MOM,MOMOM,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Oak,MOOak1.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Oak,MOOak1.2,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Oak,MOOak1.3,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Oak,MOOak2.1,0.1135,1,0,0,0,1,NA,0,NA,NA,,,,,,,,,,,,,
18/07/2024,Orford,Oak,MOOak2.2,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Oak,MOOak2.3,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Oak,MOOak3.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Oak,MOOak3.2,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Oak,MOOak3.3,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Pine,MOPine1.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Pine,MOPine1.2,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Pine,MOPine2.1,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Pine,MOPine2.2,0.0986,1,0,0,0,1,NA,0,NA,NA,,,,,,,,,,,,,
18/07/2024,Orford,Pine,MOPine2.3,0,0,0,0,0,0,NA,0,no moths ,NA,,,,,,,,,,,,,
18/07/2024,Orford,Pine,MO2Pine4.1,0.0212,1,0,0,0,1,NA,0,NA,NA,,,,,,,,,,,,,
18/07/2024,Orford,Pine,MO2Pine4.2,0.1166,1,0,0,0,1,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,MOM,OkaMOM2,NA,23,0,0,0,23,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Oak,OkaOak1.1,7.4017,102,0,0,0,102,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Oak,OkaOak1.2,4.6585,61,0,0,0,61,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Oak,OkaOak1.3,3.345,43,0,0,0,43,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Oak,OkaOak1.4,3.0355,38,0,0,0,38,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Oak,OkaOak1.5,1.0043,13,0,0,0,13,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Oak,OkaOak1.6,3.6032,42,0,0,0,42,NA,1,NA,tiny little ant thing ,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine1.1,4.5115,56,0,0,0,56,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine1.2,2.9956,37,0,0,0,37,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine1.3,2.3188,27,0,0,0,27,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine1.4,1.3645,19,0,0,0,19,NA,1,NA,tiny little beige moth found ,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine1.5,2.2659,30,0,0,0,30,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine1.6,2.1692,26,0,0,0,26,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine1.7,1.4238,18,0,0,0,18,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Oak/Pine,OkaOP2.1,2.404,30,0,0,0,30,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Oak/Pine,OkaOP2.2,0.8939,12,0,0,0,12,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Oak/Pine,OkaOP2.3,7.078,93,0,0,0,93,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine2.1,7.822,115,0,0,0,115,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine2.2,5.473,76,0,0,0,76,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine2.3,2.6138,32,0,0,0,32,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine2.4,2.8068,33,0,0,0,33,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,Pine,OkaPine2.5,1.0896,13,0,0,0,13,NA,0,NA,NA,,,,,,,,,,,,,
22/07/2024,Oka,MOM,OkaMOM1,NA,31,0,0,0,31,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine/Oak,OkaOP3.1,2.0223,28,0,0,0,28,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine/Oak,OkaOP3.2,1.5265,21,0,0,0,21,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine/Oak,OkaOP3.3,2.2873,27,0,0,0,27,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine/Oak,OkaOP3.4,2.3931,35,0,0,0,35,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine/Oak,OkaOP3.5,1.9842,27,0,0,0,27,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine/Oak,OkaOP3.6,4.2652,57,0,0,0,57,NA,0,1 tussoch moth,NA,,,,,,,,,,,,,
23/07/2024,Oka,Oak/Pine,OkaOP1.1,6.2333,95,0,0,0,96,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Oak/Pine,OkaOP1.2,9.7215,144,0,0,0,144,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Oak/Pine,OkaOP1.3,5.5405,73,0,0,0,73,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Oak/Pine,OkaOP1.4,1.9245,29,0,0,0,29,NA,1,NA,1 small fly,,,,,,,,,,,,,
23/07/2024,Oka,Pine,OkaPine3.1,2.9515,36,0,0,0,36,NA,0,1 tussoch moth,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine,OkaPine3.2,1.6721,22,0,0,0,22,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine,OkaPine3.3,1.8873,24,0,0,0,24,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine,OkaPine3.4,1.3805,17,0,0,0,17,NA,0,NA,NA,,,,,,,,,,,,,
23/07/2024,Oka,Pine,OkaPine3.5,1.3278,17,0,0,0,17,NA,0,NA,NA,,,,,,,,,,,,,
24/07/2024,Notre Dame de Bonsecours,Oak,NDBOak1.1,1.6175,19,0,0,0,19,NA,0,NA,NA,,,,,,,,,,,,,
24/07/2024,Notre Dame de Bonsecours,Oak,NDBOak1.2,1.7895,21,0,0,0,21,NA,2,NA,1 small spider and Daddy long leg body ,,,,,,,,,,,,,
24/07/2024,Notre Dame de Bonsecours,Oak,NDBOak1.3,1.6605,17,0,0,0,17,NA,1,NA,Daddy long leg body + legs,,,,,,,,,,,,,
24/07/2024,Notre Dame de Bonsecours,Oak,NDBOak1.4,1.9685,24,0,0,0,24,NA,0,NA,NA,,,,,,,,,,,,,
24/07/2024,Notre Dame de Bonsecours,Pine,NBDPine2.1,0.5109,6,0,0,0,6,NA,0,1 tussoch moth,NA,,,,,,,,,,,,,
24/07/2024,Notre Dame de Bonsecours,Pine,NBDPine2.2,1.0186,12,0,0,0,12,NA,0,beetles and lots of flies ,NA,,,,,,,,,,,,,
