date,patch_name,stand_type,stand_category,trap_name,x_quercus,x_pinus,stand_area_ha,mass_g,moth_count,muck_mass,other_species_in_lab,field_notes,lab_notes
15/07/2024,Mont Saint Hilaire,Oak,C,MSHOak1.1,0.6,0,8.5,0,0,NA,0,no moths ,NA
15/07/2024,Mont Saint Hilaire,Oak,C,MSHOak1.2,0.6,0,8.5,0,0,NA,0,no moths ,NA
15/07/2024,Mont Saint Hilaire,Oak,C,MSHOak1.3,0.6,0,8.5,0.0929,1,NA,0,NA,NA
15/07/2024,Mont Saint Hilaire,Oak,C,MSHOak1.4,0.6,0,8.5,0.1308,3,NA,0,NA,NA
15/07/2024,Mont Saint Hilaire,Oak/Pine,H,MSH2Oak1.1,0.3,0.2,7.6,0,0,NA,0,no moths ,NA
15/07/2024,Mont Saint Hilaire,Oak/Pine,H,MSH2Oak1.2,0.3,0.2,7.6,0,0,NA,0,no moths ,NA
16/07/2024,Mont Saint Hilaire,Pine,L,MSHPine1.1,0,0.7,3.8,0.136,2,NA,0,NA,NA
16/07/2024,Mont Saint Hilaire,Oak/Pine,H,MSH2Oak1.3,0.3,0.2,7.6,0,0,NA,0,no moths ,NA
16/07/2024,Mont Saint Hilaire,Pine/Oak,I,MSHOP1.1,0.3,0.4,3.5,0.0567,1,NA,0,2 tussoch moths,NA
16/07/2024,Mont Saint Hilaire,Pine/Oak,I,MSHOP1.2,0.3,0.4,3.5,NA,NA,NA,NA,MISSING IN FIELD,NA
16/07/2024,Mont Saint Hilaire,Oak/Pine,D,MSHOP2.1,0.6,0.1,5.7,0,0,NA,0,no moths ,NA
16/07/2024,Mont Saint Hilaire,Oak/Pine,D,MSHOP2.2,0.6,0.1,5.7,0,0,NA,0,no moths ,NA
16/07/2024,Mont Saint Hilaire,Oak/Pine,D,MSHOP2.3,0.6,0.1,5.7,0.0445,1,NA,0,1 tussoch moth,NA
15/07/2024,Mont Saint Hilaire,MOM,NA,MSHMOM,0.1,0,4.8,0,0,NA,0,no moths ,NA
15/07/2024,Mont Saint Hilaire,MOM,NA,MSH2MOM,0.1,0,4.8,0,0,NA,0,no moths ,NA
15/07/2024,Mont Saint Hilaire,MOM,NA,MSH2MOM2,0.1,0,4.8,0,0,NA,0,no moths ,NA
16/07/2024,Mont Saint Hilaire,Oak/Pine,H,MSH2Oak1.4,0.3,0.2,7.6,0,0,NA,0,no moths ,NA
17/07/2024,Orford,Pine,M,MO2Pine2.1,0,0.8,6.8,0,0,NA,0,no moths ,NA
17/07/2024,Orford,Pine,M,MO2Pine2.2,0,0.8,6.8,0,0,NA,0,no moths ,NA
17/07/2024,Orford,Pine,L,MO2Pine1.1,0,0.7,3.7,0,0,NA,0,no moths ,NA
17/07/2024,Orford,Pine,L,MO2Pine1.2,0,0.7,3.7,0,0,NA,0,trap found open at bottom - closed back up ,NA
17/07/2024,Orford,Oak,F,MO2Oak1.1,0.4,0.2,8.1,0,0,NA,0,no moths ,NA
17/07/2024,Orford,Oak,F,MO2Oak 1.2,0.4,0.2,8.1,0,0,NA,0,2 tussoch moths,NA
