patch_name,Years,Year,stand_type,landscape_type,stand_category,Percent_Oak,Percent_Pine,Forest_Type,stand_area_ha,forest_area_km2,trap_name,longitude,total_moth_count,complete ,clean_complete,censored,reason_incomplete,
Mont_Royal,2024,1,Oak,urban,E,0.4,0,oak_maple,14,4.89,MRMOM,-73.59218029,93,93,93.00,0,NA,
Mont_Royal,2024,1,Oak,urban,A,0.8,0,oak,6.4,4.89,MROak2.1,-73.58858806,15,15,15.00,0,NA,
Mont_Royal,2024,1,Oak,urban,C,0.6,0,oak,8.6,4.89,MROak1.1,-73.58862712,7,7,7.00,0,NA,
Mont_Royal,2024,1,Oak,urban,C,0.6,0,oak,8.6,4.89,MROak1.2,-73.58738426,20,20,20.00,0,NA,
Mont_Royal,2024,1,Oak,urban,C,0.6,0,oak,8.6,4.89,MROak1.3,-73.58927127,6,6,6.00,0,NA,
Mont_Royal,2024,1,Oak,urban,E,0.4,0,oak_maple,11.7,4.89,MROak3.1,-73.61059815,96,96,96.00,0,NA,
Mont_Royal,2024,1,Oak,urban,E,0.4,0,oak_maple,11.7,4.89,MROak3.2,-73.60980668,52,52,52.00,0,NA,
Mont_Royal,2024,1,Oak,urban,E,0.4,0,oak_maple,11.7,4.89,MROak3.3,-73.60889037,NA,NA,NA,1,Missing in field,
Mont_Royal,2024,1,Oak/Pine,urban,E,0.4,0.1,oak_pine,8.9,4.89,MROP1.1,-73.59217007,60,60,60.00,0,NA,
Mont_Royal,2024,1,Oak/Pine,urban,E,0.4,0.1,oak_pine,8.9,4.89,MROP1.2,-73.59133632,20,20,20.00,0,NA,
Mont_Royal,2024,1,Oak/Pine,urban,E,0.4,0.1,oak_pine,8.9,4.89,MROP1.3,-73.59048539,15,15,15.00,0,NA,
Mont_Royal,2024,1,Oak/Pine,urban,E,0.4,0.1,oak_pine,8.9,4.89,MROP1.4,-73.59044925,17,17,17.00,0,NA,
Mont_Royal,2024,1,Pine,urban,L,0.4,0,pine,14,4.89,MRPine1.1,-73.58716381,25,25,25.00,0,NA,
Mont_Saint_Hilaire,2024,1,MOM,agricultural,MOM,0.1,0,maple,4.8,12.4,MSH2MOM,-73.1520256,13,13,13.00,0,NA,
Mont_Saint_Hilaire,2024,1,MOM,agricultural,MOM,0.1,0,maple,4.8,12.4,MSH2MOM2,-73.15055123,15,15,15.00,0,NA,
Mont_Saint_Hilaire,2024,1,MOM,agricultural,MOM,0.1,0,maple,4.8,12.4,MSHMOM,-73.15348841,19,19,19.00,0,NA,
Mont_Saint_Hilaire,2024,1,Oak,agricultural,C,0.6,0,oak,8.5,12.4,MSHOak1.1,-73.1725616,3,3,3.00,0,NA,
Mont_Saint_Hilaire,2024,1,Oak,agricultural,C,0.6,0,oak,8.5,12.4,MSHOak1.2,-73.17252673,40,40,40.00,0,NA,
Mont_Saint_Hilaire,2024,1,Oak,agricultural,C,0.6,0,oak,8.5,12.4,MSHOak1.3,-73.17309176,61,61,61.00,0,NA,
