,patch_name,stand_type,stand_category,trap_name,total_moth_count,complete ,clean_complete,reason_incomplete
1,Mont_Royal,MOM,E,MRMOM,93,93,93,NA
2,Mont_Royal,Oak,A,MROak2.1,15,15,15,NA
3,Mont_Royal,Oak,C,MROak1.1,7,7,7,NA
4,Mont_Royal,Oak,C,MROak1.2,20,20,20,NA
5,Mont_Royal,Oak,C,MROak1.3,6,6,6,NA
6,Mont_Royal,Oak,E,MROak3.1,96,96,96,NA
7,Mont_Royal,Oak,E,MROak3.2,52,52,52,NA
8,Mont_Royal,Oak,E,MROak3.3,0,NA,NA,Missing in field
9,Mont_Royal,Oak/Pine,E,MROP1.1,60,60,60,NA
10,Mont_Royal,Oak/Pine,E,MROP1.2,20,20,20,NA
11,Mont_Royal,Oak/Pine,E,MROP1.3,15,15,15,NA
12,Mont_Royal,Oak/Pine,E,MROP1.4,17,17,17,NA
13,Mont_Royal,Pine,L,MRPine1.1,25,25,25,NA
14,Mont_Saint_Hilaire,MOM,MOM,MSH2MOM,13,13,13,NA
15,Mont_Saint_Hilaire,MOM,MOM,MSH2MOM2,15,15,15,NA
16,Mont_Saint_Hilaire,MOM,MOM,MSHMOM,19,19,19,NA
17,Mont_Saint_Hilaire,Oak,C,MSHOak1.1,3,3,3,NA
18,Mont_Saint_Hilaire,Oak,C,MSHOak1.2,40,40,40,NA
19,Mont_Saint_Hilaire,Oak,C,MSHOak1.3,61,61,61,NA
20,Mont_Saint_Hilaire,Oak,C,MSHOak1.4,16,NA,NA,Trap damaged 
21,Mont_Saint_Hilaire,Oak/Pine,D,MSHOP2.1,1,NA,NA,Trap damaged 
22,Mont_Saint_Hilaire,Oak/Pine,D,MSHOP2.2,22,22,22,NA
23,Mont_Saint_Hilaire,Oak/Pine,D,MSHOP2.3,61,61,61,NA
24,Mont_Saint_Hilaire,Oak/Pine,H,MSH2Oak1.1,6,6,6,NA
25,Mont_Saint_Hilaire,Oak/Pine,H,MSH2Oak1.2,14,14,14,NA
26,Mont_Saint_Hilaire,Oak/Pine,H,MSH2Oak1.3,6,6,6,NA
27,Mont_Saint_Hilaire,Oak/Pine,H,MSH2Oak1.4,32,NA,NA,Trap damaged 
28,Mont_Saint_Hilaire,Pine,L,MSHPine1.1,122,122,122,NA
29,Mont_Saint_Hilaire,Pine/Oak,I,MSHOP1.1,14,14,14,NA
30,Mont_Saint_Hilaire,Pine/Oak,I,MSHOP1.2,0,NA,NA,Missing in field
31,Montebello,MOM,MOM,MontMOM,39,39,39,NA
32,Montebello,Oak,B,MontOak2.1,8,8,NA,Muck
33,Montebello,Oak,B,MontOak2.2,103,103,103,NA
34,Montebello,Oak,C,MontOak1.1,120,120,120,NA
35,Montebello,Oak,C,MontOak1.2,41,41,NA,Muck
36,Montebello,Oak/Pine,G,Mont2OP2.1,20,20,NA,Muck
37,Montebello,Oak/Pine,G,Mont2OP2.2,69,69,69,NA
38,Montebello,Pine,I,MontPine2.1,65,65,NA,Muck
39,Montebello,Pine,I,MontPine2.2,19,19,NA,Muck
40,Montebello,Pine,I,MontPine2.3,23,NA,NA,Trap damaged 
41,Montebello,Pine,K,MontPine1.1,30,30,30,NA
42,Montebello,Pine,K,MontPine1.2,75,75,75,NA
43,Montebello,Pine,M,Mont2Pine1.1,14,NA,NA,Trap damaged 
44,Montebello,Pine,M,Mont2Pine1.2,49,49,NA,Muck
45,Montebello,Pine/Oak,I,Mont2OP1.1,62,62,NA,Muck
46,Montebello,Pine/Oak,I,Mont2OP1.2,14,NA,NA,Trap damaged 
47,Notre_Dame_de_Bonsecours,MOM,MOM,NDBMOM,89,89,89,NA
48,Notre_Dame_de_Bonsecours,Oak,C,NDBOak1.1,46,46,46,NA
49,Notre_Dame_de_Bonsecours,Oak,C,NDBOak1.2,41,41,41,NA
50,Notre_Dame_de_Bonsecours,Oak,C,NDBOak1.3,18,18,NA,Muck
51,Notre_Dame_de_Bonsecours,Oak,C,NDBOak1.4,25,25,NA,Muck
52,Notre_Dame_de_Bonsecours,Oak/Pine,F,NDBOP1.1,0,NA,NA,Trap damaged 
53,Notre_Dame_de_Bonsecours,Oak/Pine,F,NDBOP2.1,104,104,104,NA
54,Notre_Dame_de_Bonsecours,Oak/Pine,F,NDBOP2.2,90,90,90,NA
55,Notre_Dame_de_Bonsecours,Oak/Pine,F,NDBOP2.3,89,89,89,NA
56,Notre_Dame_de_Bonsecours,Pine,H,NDBPine1.1,82,82,NA,Muck
57,Notre_Dame_de_Bonsecours,Pine,M,NBDPine2.1,41,41,41,NA
58,Notre_Dame_de_Bonsecours,Pine,M,NBDPine2.2,39,39,39,NA
59,Oka,MOM,MOM,OkaMOM1,126,126,126,NA
60,Oka,MOM,MOM,OkaMOM2,75,75,75,NA
61,Oka,Oak,E,OkaOak1.1,263,263,263,NA
62,Oka,Oak,E,OkaOak1.2,152,152,152,NA
63,Oka,Oak,E,OkaOak1.3,95,95,95,NA
64,Oka,Oak,E,OkaOak1.4,79,79,79,NA
65,Oka,Oak,E,OkaOak1.5,20,20,20,NA
66,Oka,Oak,E,OkaOak1.6,101,101,101,NA
67,Oka,Oak/Pine,H,OkaOP1.1,178,178,178,NA
68,Oka,Oak/Pine,H,OkaOP1.2,244,244,244,NA
69,Oka,Oak/Pine,H,OkaOP1.3,142,142,142,NA
70,Oka,Oak/Pine,H,OkaOP1.4,50,50,50,NA
71,Oka,Oak/Pine,H,OkaOP2.1,93,93,93,NA
72,Oka,Oak/Pine,H,OkaOP2.2,12,12,NA,Muck
73,Oka,Oak/Pine,H,OkaOP2.3,121,121,NA,Muck
74,Oka,Pine,I,OkaPine1.1,149,149,149,NA
75,Oka,Pine,I,OkaPine1.2,98,98,98,NA
76,Oka,Pine,I,OkaPine1.3,65,65,65,NA
77,Oka,Pine,I,OkaPine1.4,70,70,70,NA
78,Oka,Pine,I,OkaPine1.5,73,73,73,NA
79,Oka,Pine,I,OkaPine1.6,65,65,65,NA
80,Oka,Pine,I,OkaPine1.7,42,42,42,NA
81,Oka,Pine,I,OkaPine2.1,260,260,260,NA
82,Oka,Pine,I,OkaPine2.2,188,188,188,NA
