Patch #,Patch name,Stand type,Total Moth Count,"Moth Content (Low = 0-20, Mid = >20-50, High = >50-80, Very High = >80+)","""Muck"" Amount",Total (categorical),Total g(continuous)
1,Parc National de Mont Orford,MO Dom1,105,High,,Very High,105
1,Parc National de Mont Orford,MO Co-Dom1,81.75,Very High,,High,81.75
1,Parc National de Mont Orford,MO Low 1,110.25,High,,Very High,110.25
1,Parc National de Mont Orford,MO Dom2,104.75,High,,Very High,104.75
1,Parc National de Mont Orford,MO Co-Dom2,59.25,High,medium,Very High,94.25
1,Parc National de Mont Orford,MO Low 2,100.5,High,,High,100.5
2,Parc National de Mont Orford 2,MO2 Dom1,76,High,,High,76
2,Parc National de Mont Orford 2,MO2 Co-Dom1,62.75,High,,High,62.75
2,Parc National de Mont Orford 2,MO2 Low 1,18.25,Low,,Low,18.25
2,Parc National de Mont Orford 2,MO2 Dom2,50.75,High,low,High,60.75
2,Parc National de Mont Orford 2,MO2 Co-Dom2,34.25,Mid,high,High,99.25
2,Parc National de Mont Orford 2,MO2 Low 2,32.25,Mid,low,Mid,42.25
3,Mont Gauvin/Glen ,Bolt Dom1,35.25,Mid,,Mid,35.25
3,Mont Gauvin/Glen ,Bolt Co-Dom1,25.25,Mid,low,Mid,35.25
3,Mont Gauvin/Glen ,Bolt Low 1,40.5,Mid,low,Mid,50.5
3,Mont Gauvin/Glen ,Bolt Dom2,42,Mid,,Mid,42
3,Mont Gauvin/Glen ,Bolt Co-Dom2,15.5,Low,low,Low,25.5
3,Mont Gauvin/Glen ,Bolt Low 2,46,Mid,,Mid,46
4,Hatley,Hat Dom1,40,Mid,,Mid,40
4,Hatley,Hat Co-Dom1,151.75,Very High,,Very High,151.75
4,Hatley,Hat Low 1,137.75,High,,Very High,137.75
4,Hatley,Hat Dom2,86,Very High,,High,86
4,Hatley,Hat Co-Dom2,168.75,Very High,,Very High,168.75
4,Hatley,Hat Low 2,132.5,High,,Very High,132.5
5,Mont Saint Hilaire,MSH Dom1,26.75,Mid,,Mid,26.75
5,Mont Saint Hilaire,MSH Co-Dom1,6.5,Low,,Low,6.5
5,Mont Saint Hilaire,MSH Low 1,12.25,Low,,Low,12.25
5,Mont Saint Hilaire,MSH Dom2,31,Mid,high,High,96
5,Mont Saint Hilaire,MSH Co-Dom2,6.5,Low,low,Low,16.5
5,Mont Saint Hilaire,MSH Low 2,0,Low,medium,Mid,35
6,Mont Saint Hilaire 2,MSH2 Dom1,,Very High,very high,Very High,100
6,Mont Saint Hilaire 2,MSH2 Co-Dom1,9,Low,,Low,9
6,Mont Saint Hilaire 2,MSH2 Low 1,1,Low,,Low,1
6,Mont Saint Hilaire 2,MSH2 Dom2,,Very High,very high,Very High,100
6,Mont Saint Hilaire 2,MSH2 Co-Dom2,27.25,Mid,,Mid,27.25
6,Mont Saint Hilaire 2,MSH2 Low 2,0,Low,,Low,0
7,Mont Saint Bruno,MSB Dom1,21,Mid,,Mid,21
7,Mont Saint Bruno,MSB Co-Dom1,33,Mid,,Mid,33
7,Mont Saint Bruno,MSB Low 1,18.5,Low,,Low,18.5
7,Mont Saint Bruno,MSB Dom2,42.75,Mid,,Mid,42.75
7,Mont Saint Bruno,MSB Co-Dom2,6.25,Low,,Low,6.25
7,Mont Saint Bruno,MSB Low 2,9,Low,,Low,9
8,Mont Saint Bruno 2,MSB2 Dom1,,Very High,very high,Very High,100
8,Mont Saint Bruno 2,MSB2 Co-Dom1,27.5,Mid,low,Mid,37.5
8,Mont Saint Bruno 2,MSB2 Low 1,28,Mid,,Mid,28
8,Mont Saint Bruno 2,MSB2 Dom2,,Very High,very high,Very High,100
8,Mont Saint Bruno 2,MSB2 Co-Dom2,13,Low,,Low,13
8,Mont Saint Bruno 2,MSB2 Low 2,48,Mid,,Mid,48
9,Parc Michel Chartrand,MC Dom1,169,Very High,,Very High,169
9,Parc Michel Chartrand,MC Co-Dom1,78,High,,High,78
9,Parc Michel Chartrand,MC Low 1,80.75,Very High,low,High,90.75
9,Parc Michel Chartrand,MC Dom2,44,Mid,,Mid,44
9,Parc Michel Chartrand,MC Co-Dom2,68.25,High,,High,68.25
9,Parc Michel Chartrand,MC Low 2,57.75,High,low,High,67.75
