Patch #,Patch name,Stand type,Mass (g),In-tact Moths,Heads,Body,Wings,Wings/4,Total Moth Count,Moth Content,"""Muck"" Amount",Total Content,Total consolidated,Other Species,Specimen/Photo/Notes?,Field Notes,Lab notes,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Dom1,3.9865,52,0,0,0,0,53,High,,High,Very High,,,one live moth outside of trap,,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Dom 1,4.0595,52,0,0,0,0,52,High,,High,,,,,,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Co-Dom1,6.0531,76,0,1,19,4.75,81.75,High,,High,High,"2 fly, 2 spider",,a few beetles,,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Low 1,3.3195,54,0,0,1,0.25,54.25,High,,High,Very High,,,,,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Low 1,3.6530,56,0,0,0,0,56,High,,High,,,,,,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Dom2,3.8453,47,1,1,6,1.5,50.5,High,,High,Very High,,,one live in trap,,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Dom2,4.7438,52,0,1,5,1.25,54.25,High,,High,,,,,,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Co-Dom2,2.0546,57,1,0,9,2.25,59.25,High,medium,Very High,Very High,,,"lots of beetles, some moth intact, some in advanced stage of decomp",,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Low 2,2.5104,53,1,0,5,1.25,55.25,High,,High,High,0.0679 g beetles,,"one live in trap- check coordinates for evan, a few beetles",some mush- weight it,,,,,,,,,,,,,,,,
1,Parc National de Mont Orford,MO Low 2,2.0925,39,0,3,13,3.25,45.25,Mid,,Mid,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
2,Parc National de Mont Orford 2,MO2 Dom1,5.5970,75,0,0,0,0,76,High,,High,High,"9 flies, 1 ant",,"1 live moth, few beetles, 1 moth non-spongy (collected)",,,,,,,,,,,,,,,,,
2,Parc National de Mont Orford 2,MO2 Co-Dom1,4.1306,59,1,2,7,1.75,62.75,High,,High,High,>10 flies,,"A few small beetles, 1 moth non-spongy",,,,,,,,,,,,,,,,,
2,Parc National de Mont Orford 2,MO2 Low 1,1.0326,17,0,1,1,0.25,18.25,Low,,Low,Low,0,,2 beetles,,,,,,,,,,,,,,,,,
2,Parc National de Mont Orford 2,MO2 Dom2,3.5121,38,8,9,15,3.75,50.75,High,low,High,High,"8 flies, 1 mite, 1 moth, 0.1994 g beetles",,"many beetles, lesser stage of decomp, but still sme, 1 live moth","1 non-spongy moth, but in another envelop by MEJ, the ""Muck"" was weighed ",,,,,,,,,,,,,,,,
2,Parc National de Mont Orford 2,MO2 Co-Dom2,1.6473,29,1,2,1,0.25,34.25,Mid,high,High,High,0,,"3 live moths, many beetles, some intact moths, many in advanced stage of decomp",,,,,,,,,,,,,,,,,
2,Parc National de Mont Orford 2,MO2 Low 2,0.6129,0,12,0,129,32.25,32.25,Mid,low,Mid,Mid,"1 megaloptera, 6 fly, 1 head of beetle",,"1 beetle, but for the majority of moths there, only wings remain or are at least detatched","megaloptera kept in an envelope, 1 non spongy wing",,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
3,Mont Gauvin/Glen ,Bolt Dom1,2.1986,31,0,2,9,2.25,35.25,Mid,,Mid,Mid,,,a few beetles,,,,,,,,,,,,,,,,,
3,Mont Gauvin/Glen ,Bolt Co-Dom1,1.9344,23,0,1,5,1.25,25.25,Mid,low,Mid,Mid,1 non-spongy,,a few beetles,,,,,,,,,,,,,,,,,
3,Mont Gauvin/Glen ,Bolt Low 1,3.6383,40,0,0,2,0.5,40.5,Mid,low,Mid,Mid,,,,,,,,,,,,,,,,,,,,
3,Mont Gauvin/Glen ,Bolt Dom2,2.4981,35,0,3,12,3,42,Mid,,Mid,Mid,,,1 moth alive,,,,,,,,,,,,,,,,,
3,Mont Gauvin/Glen ,Bolt Co-Dom2,1.0275,9,1,4,10,2.5,15.5,Low,low,Low,Low,,,a few beetles,,,,,,,,,,,,,,,,,
3,Mont Gauvin/Glen ,Bolt Low 2,2.9504,44,0,1,4,1,46,Mid,,Mid,Mid,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
4,Hatley,Hat Dom1,2.2905,40,0,0,0,0,40,Mid,,Mid,Mid,"1 fly, 1 non-spongy moth",,,,,,,,,,,,,,,,,,,
4,Hatley,Hat Co-Dom1,4.9919,79,0,2,8,2,83,High,,High,Very High,1 fly,,,,,,,,,,,,,,,,,,,
4,Hatley,Hat Co-Dom1,3.9445,67,0,0,7,1.75,68.75,High,,High,,,,,,,,,,,,,,,,,,,,,
4,Hatley,Hat Low 1,3.0232,60,0,5,21,5.25,71.25,High,,High,Very High,2 flies,,1 live moth flew out,,,,,,,,,,,,,,,,,
4,Hatley,Hat Low 1,4.0099,64,0,1,6,1.5,66.5,High,,High,,1 non-spongy moth,,,,,,,,,,,,,,,,,,,
4,Hatley,Hat Dom2,3.5217,80,0,1,20,5,86,High,,High,High,"1 non spongy moth, 3 flies",,"A few beetles, but moths still in good shape",,,,,,,,,,,,,,,,,
4,Hatley,Hat Co-Dom2,4.3305,82,3,3,25,6.25,91.25,High,,High,Very High,3 flies,,,,,,,,,,,,,,,,,,,
4,Hatley,Hat Co-Dom2,3.5633,75,0,1,6,1.5,77.5,High,,High,,,,,,,,,,,,,,,,,,,,,
4,Hatley,Hat Low 2,3.8856,76,0,0,5,1.25,77.25,High,,High,Very High,,,"a moderate number if beetles, but moths still intact",,,,,,,,,,,,,,,,,
4,Hatley,Hat Low 2,2.5538,53,1,1,5,1.25,55.25,High,,High,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
5,Mont Saint Hilaire,MSH Dom1,1.1258,26,0,0,3,0.75,26.75,Mid,,Mid,Mid,,,1 non-spongy,,,,,,,,,,,,,,,,,
5,Mont Saint Hilaire,MSH Co-Dom1,0.2199,6,0,0,2,0.5,6.5,Low,,Low,Low,,,1 non-spongy,,,,,,,,,,,,,,,,,
5,Mont Saint Hilaire,MSH Low 1,0.5313,12,0,0,1,0.25,12.25,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
5,Mont Saint Hilaire,MSH Dom2,1.0114,24,6,1,15,3.75,31,Mid,high,High,High,,1 beetle,"a lot of mush and some intact moths (some full, some only wings)","many lone wings in bad conditions, in pieces or all stuck together- to be considered when estimating number of wings, moths very damaged",,,,,,,,,,,,,,,,
5,Mont Saint Hilaire,MSH Co-Dom2,0.1104,2,2,3,6,1.5,6.5,Low,low,Low,Low,,,mush and few recoverable wings (not much in the trap in general),,,,,,,,,,,,,,,,,
5,Mont Saint Hilaire,MSH Low 2,NA,0,0,0,0,0,0,Low,medium,Mid,Mid,,,mush,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
6,Mont Saint Hilaire 2,MSH2 Dom1,0.0000,NA,0,0,0,0,NA,High,very high,Very High,Very High,,,"full of beetles, mostly decomposed matter",,,,,,,,,,,,,,,,,
6,Mont Saint Hilaire 2,MSH2 Co-Dom1,0.4940,9,0,0,0,0,9,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
6,Mont Saint Hilaire 2,MSH2 Low 1,0.0866,1,0,0,0,0,1,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
6,Mont Saint Hilaire 2,MSH2 Dom2,0.0000,0,0,0,0,0,NA,High,very high,Very High,Very High,,,"full of beetles, mostly decomposed matter, 1 live moth",,,,,,,,,,,,,,,,,
6,Mont Saint Hilaire 2,MSH2 Co-Dom2,1.4251,27,0,0,1,0.25,27.25,Mid,,Mid,Mid,,,,,,,,,,,,,,,,,,,,
6,Mont Saint Hilaire 2,MSH2 Low 2,0.0000,0,0,0,0,0,0,Low,,Low,Low,,1 catterpilar and 1 moth,"no spongy moths, 1 non-spongy moth, 1 non-spongy caterpillar, photos taken",,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
7,Mont Saint Bruno,MSB Dom1,1.0092,21,0,0,0,0,21,Mid,,Mid,Mid,,,,,,,,,,,,,,,,,,,,
7,Mont Saint Bruno,MSB Co-Dom1,2.0062,33,0,0,0,0,33,Mid,,Mid,Mid,1 aspen moth,,,,,,,,,,,,,,,,,,,
7,Mont Saint Bruno,MSB Low 1,1.0114,18,0,0,2,0.5,18.5,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
7,Mont Saint Bruno,MSB Dom2,2.2776,40,0,1,7,1.75,42.75,Mid,,Mid,Mid,,,,,,,,,,,,,,,,,,,,
7,Mont Saint Bruno,MSB Co-Dom2,0.2305,6,0,0,1,0.25,6.25,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
7,Mont Saint Bruno,MSB Low 2,0.4978,9,0,0,0,0,9,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
8,Mont Saint Bruno 2,MSB2 Dom1,NA,0,0,0,0,0,NA,High,very high,Very High,Very High,,,"many beetles, only decomposed material left seems, like there were a lot of moths, but none are recoverable",,,,,,,,,,,,,,,,,
8,Mont Saint Bruno 2,MSB2 Co-Dom1,1.1997,25,0,1,6,1.5,27.5,Mid,low,Mid,Mid,,,"many beetles, moths still largely recoverable",the paper in the bag said Dom 1,,,,,,,,,,,,,,,,
8,Mont Saint Bruno 2,MSB2 Low 1,1.4331,27,1,0,3,0.75,28,Mid,,Mid,Mid,,,,,,,,,,,,,,,,,,,,
8,Mont Saint Bruno 2,MSB2 Dom2,NA,0,0,0,0,0,NA,High,very high,Very High,Very High,,,"many beetles, only decomposed material left seems, like there were a lot of moths, but none are recoverable",,,,,,,,,,,,,,,,,
8,Mont Saint Bruno 2,MSB2 Co-Dom2,0.6317,13,0,0,0,0,13,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
8,Mont Saint Bruno 2,MSB2 Low 2,2.8801,48,0,0,0,0,48,Mid,,Mid,Mid,1 fly,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
9,Parc Michel Chartrand,MC Dom1,3.4575,85,0,3,18,4.5,92.5,High,,High,Very High,,,,,,,,,,,,,,,,,,,,
9,Parc Michel Chartrand,MC Dom 1,2.9482,74,1,0,10,2.5,76.5,High,,High,,,,,,,,,,,,,,,,,,,,,
9,Parc Michel Chartrand,MC Co-Dom1,3.8384,77,0,1,0,0,78,High,,High,High,3 flies,,"a couple small non-spongies, a few snails",,,,,,,,,,,,,,,,,
9,Parc Michel Chartrand,MC Low 1,2.7906,48,9,14,75,18.75,80.75,High,low,High,High,,,"some beetles, various stages of decomp, mostly just wings recoverable","moths in bad shape, and mostly incomplete or many stuck together with flies",,,,,,,,,,,,,,,,
9,Parc Michel Chartrand,MC Dom2,2.5263,39,0,3,8,2,44,Mid,,Mid,Mid,many flies,,,"moths in bad shape, and mostly incomplete or many stuck together with flies",,,,,,,,,,,,,,,,
9,Parc Michel Chartrand,MC Co-Dom2,4.0519,60,4,1,29,7.25,68.25,High,,High,High,,,"trap destroyed by fallen tree, retrieved some moths found next to fallen/destroyed trap","moths in bad shape, and mostly incomplete or many stuck together with flies",,,,,,,,,,,,,,,,
9,Parc Michel Chartrand,MC Low 2,2.7264,47,2,6,19,4.75,57.75,High,low,High,High,"1 beetles, 8 flies, 1 worm",,a few beetles,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
10,Parc-nature de la Pointe-aux-Prairies,PP Dom1,1.1758,29,0,0,0,0,29,Mid,,Mid,Mid,,,,,,,,,,,,,,,,,,,,
10,Parc-nature de la Pointe-aux-Prairies,PP Co-Dom1,3.6660,97,0,0,2,0.5,97.5,High,,High,High,1 beetles,,some moths with fungus (on the abdomen),,,,,,,,,,,,,,,,,
10,Parc-nature de la Pointe-aux-Prairies,PP Low 1,0.8471,21,0,0,0,0,21,Mid,,Mid,Mid,1 fly,,"moths all intact, some fungus growing",,,,,,,,,,,,,,,,,
10,Parc-nature de la Pointe-aux-Prairies,PP Dom2,0.9349,4,4,0,10,2.5,8,Low,medium,Mid,Mid,"many flies, 0.6885g beetles",2 frogs,"medium amount if mush, some moths intact, 2 frogs (photographed)","too many body parts and flies stuck together, unable to count- took the weight and put it in muck",,,,,,,,,,,,,,,,
10,Parc-nature de la Pointe-aux-Prairies,PP Co-Dom2,2.1268,35,27,11,73,18.25,64.25,High,high,Very High,Very High,3 beetles,,"some beetles, a lot of moths, some intact, mostly in parts many in advanced stage of decomp, all very dry","many lone wings in bad conditions, in pieces or all stuck together- to be considered when estimating number of wings",,,,,,,,,,,,,,,,
10,Parc-nature de la Pointe-aux-Prairies,PP Low 2,1.4830,37,1,1,9,2.25,40.25,Mid,low,Mid,Mid,"2 flies, 2 ants",,"some beetles, moths mostly intact",,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Dom1,2.9016,66,1,0,8,2,68,High,,High,High,,,,,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Dom1,2.0695,39,0,1,3,0.75,40.75,Mid,,Mid,,,,,,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Co-Dom1,2.7034,71,3,2,17,4.25,77.25,High,,High,Very High,6 flies,,send evan coordinates,,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Co-Dom1,1.7784,52,0,4,28,7,63,High,,High,,,,send evan coordinates,,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Low 1,0.7031,NA,NA,NA,NA,#VALUE!,NA,High,very high,Very High,Very High,,,"heavy volume of beetles in trap, moths were in advanced stage of decay/broken up/eaten",unable to distinguish the masses- all stuck together,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Dom2,3.0082,77,1,0,9,2.25,79.25,High,,High,Very High,,1 beetle,,,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Dom2,2.7616,75,1,0,9,2.25,77.25,High,,High,,,,,,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Co-Dom2,1.7109,46,0,1,6,1.5,49.5,Mid,,Mid,High,,,live moth flew out of trap,,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Co-Dom2,2.5638,70,0,1,6,1.5,72.5,High,,High,,,1 fly,,,,,,,,,,,,,,,,,,
11,Parc National Oka,Oka Low 2,1.5727,32,6,1,32,8,41,Mid,very high,Very High,Very High,,,"heavy volume of beetles in trap, moths were in advanced stage of decay/broken up/eaten","moths in bad condition, many debris",,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
12,Mont Rigaud,Rig Dom1,1.7421,33,0,2,4,1,36,Mid,high,High,High,2 beetles (nicrophorus tomentosus),,"many beetles as well- seems to be the more moisture, the more beetles",moths in bad conditions,,,,,,,,,,,,,,,,
12,Mont Rigaud,Rig Co-Dom1,1.4558,35,0,0,0,0,35,Mid,,Mid,Mid,1 fly,,,,,,,,,,,,,,,,,,,
12,Mont Rigaud,Rig Low 1,1.9460,2,5,0,13,3.25,7,Low,very high,High,High,1.2346g beetles,,"super wet and decomposed with lots of beetles, 1 moth genus lambdna","ice in the bag, moths iall stuck together- can't count them",,,,,,,,,,,,,,,,
12,Mont Rigaud,Rig Dom2,1.8416,38,1,2,4,1,41,Mid,  ,Mid,Mid,,,,,,,,,,,,,,,,,,,,
12,Mont Rigaud,Rig Co-Dom2,1.1340,17,0,1,2,0.5,18.5,Low,medium,Mid,Mid,"1 beetle, 2 flies",,"more beetles like at oka, 1 genus nadata moth",,,,,,,,,,,,,,,,,
12,Mont Rigaud,Rig Low 2,0.3390,6,0,1,6,1.5,8.5,Low,,Low,Low,1 non-spongy moth,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,Low,,Low,Low,,,,,,,,,,,,,,,,,,,,
13,Brownsburg,BC Dom1,1.4079,30,0,2,7,1.75,33.75,Mid,,Mid,Mid,,1 caterpillar,"1 beetle, 1 caterpillar (photographed)",,,,,,,,,,,,,,,,,
